					
					
					
					
					
					
Part	Value	Device	Package	Library	Sheet
					
5V	Green	LEDCHIP-LED0805	CHIP-LED0805	adafruit	1
9V	Green	LEDCHIP-LED0805	CHIP-LED0805	adafruit	1
C1	10uF	CAP_POL3528	EIA3528	SparkFun-Passives	1
C2	0.1uF	CAP0805	805	SparkFun-Capacitors	1
C3	DNP	CAP0805	805	SparkFun-Capacitors	1
C4	10uF	CAP_POL3528	EIA3528	SparkFun-Passives	1
C5	0.1uF	CAP0805	805	SparkFun-Passives	1
C6	100uF	CPOL-USG	PANASONIC_G	adafruit	1
C7	10uF	CAP_POL3528	EIA3528	SparkFun-Passives	1
C8	10uF	CAP_POL3528	EIA3528	SparkFun-Passives	1
C9	dnp	CAP0805	805	SparkFun-Capacitors	1
C10	.1uF	C-USC0805	C0805	adafruit	4
C11	.1uF	C-USC0805	C0805	adafruit	4
C13	0.1uF	CAP0805	805	SparkFun-Passives	1
C14	10nF	CAP0805	805	SparkFun-Passives	4
C15	.1uF	C-USC0805	C0805	adafruit	4
C16	.1uF	C-USC0805	C0805	adafruit	4
C17	100uF	CPOL-USG	PANASONIC_G	adafruit	1
C18	1uf	CAP1206	1206	SparkFun-Passives	1
C19	1uf	CAP1206	1206	SparkFun-Passives	1
C20	0.1uF	CAP0805	805	SparkFun-Passives	1
C21	.1uF	C-USC0805	C0805	adafruit	4
C22	10nF	CAP0805	805	SparkFun-Passives	4
C23	1000pf	C-USC1825	C1825	adafruit	1
C24	10nF	CAP0805	805	SparkFun-Passives	4
C25	10nF	CAP0805	805	SparkFun-Passives	3
C26	1uF	CAP0805	805	SparkFun-Passives	1
C27	1uF	CAP0805	805	SparkFun-Passives	1
C28	.1uF	CAP0805	805	SparkFun-Passives	1
D1	ES1AE-TP	DIODESMA-KIT	SMA-DIODE-KIT	SparkFun-DiscreteSemi	3
D3	TVS	TVS	DO-214AC	NASA_LIB	1
D5	ES1AE-TP	DIODESMA-KIT	SMA-DIODE-KIT	SparkFun-DiscreteSemi	3
D6	ES1AE-TP	DIODESMA-KIT	SMA-DIODE-KIT	SparkFun-DiscreteSemi	3
D7	ES1AE-TP	DIODESMA-KIT	SMA-DIODE-KIT	SparkFun-DiscreteSemi	3
D8	ES1AE-TP	DIODESMA-KIT	SMA-DIODE-KIT	SparkFun-DiscreteSemi	3
D9	30V	DIODE-ZENERSMB	SMB-DIODE	SparkFun	1
F1	PTCSMD	PTCSMD	PTC-1206	SparkFun-PowerIC	2
F2	PTCSMD	PTCSMD	PTC-1206	SparkFun-PowerIC	2
F3	PTCSMD	PTCSMD	PTC-1206	SparkFun-PowerIC	2
F4	PTCSMD	PTCSMD	PTC-1206	SparkFun-PowerIC	2
J1	M23	M23	1-770669-1	FSAE	2
J2	M35	M35	1-776163-2	FSAE	2
JP1	M05LOCK_LONGPADS	1X05_LOCK_LONGPADS	SparkFun-Connectors	4	
JP2	M02POLAR_LOCK	M02POLAR_LOCK	MOLEX-1X2_LOCK	SparkFun-Connectors	4
JP3	M02POLAR_LOCK	M02POLAR_LOCK	MOLEX-1X2_LOCK	SparkFun-Connectors	4
JP4	M02POLAR_LOCK	M02POLAR_LOCK	MOLEX-1X2_LOCK	SparkFun-Connectors	4
JP5	M02POLAR_LOCK	M02POLAR_LOCK	MOLEX-1X2_LOCK	SparkFun-Connectors	1
JP6	M02POLAR_LOCK	M02POLAR_LOCK	MOLEX-1X2_LOCK	SparkFun-Connectors	3
JP7	Headphone	M04POLAR_LOCK	MOLEX-1X4_LOCK	SparkFun-Connectors	2
JP8	M07LOCK_LONGPADS	1X07_LOCK_LONGPADS	SparkFun-Connectors	2	
K1	RTE44024F	RTE44024F	RTE44024F	FSAE	3
