Partlist						
						
Exported	from	DFT_v4.sch		4/18/2015	10:32:27	PM
						
						
						
						
						
Part	Value	Device	Package	Library	Sheet	
						
C1	.1uF	C-USC0805	C0805	adafruit	1	
C2	.1uF	C-USC0805	C0805	adafruit	1	
C3	.1uF	C-USC0805	C0805	adafruit	1	
C4	.1uF	C-USC0805	C0805	adafruit	1	
C5	22uF	CAP_POL7343	EIA7343	SparkFun-Passives	1	
C6	10uF	CAP_POL1206	EIA3216	SparkFun-Passives	1	
C7	0.1uF	CAP0805	805	SparkFun	1	
C8	0.1uF	CAP0805	805	SparkFun	1	
C9	0.1u	CAP0805	805	SparkFun	1	
C10	.1uF	C-USC0805	C0805	adafruit	1	
C11	.1uF	C-USC0805	C0805	adafruit	1	
C12	.1uF	C-USC0805	C0805	adafruit	1	
C13	.1uF	C-USC0805	C0805	adafruit	1	
C14	.1uF	C-USC0805	C0805	adafruit	1	
C15	.1uF	C-USC0805	C0805	adafruit	1	
C16	.1uF	C-USC0805	C0805	adafruit	1	
CELL1	LED	LEDSML0805	SML0805	led	1	
CELL2	LED	LEDSML0805	SML0805	led	1	
CELL3	LED	LEDSML0805	SML0805	led	1	
CELL4	LED	LEDSML0805	SML0805	led	1	
CELL5	LED	LEDSML0805	SML0805	led	1	
CELL6	LED	LEDSML0805	SML0805	led	1	
CELL7	LED	LEDSML0805	SML0805	led	1	
D3		DIODE-SOD123	SOD123	diode	1	
D4		DIODE-SOD123	SOD123	diode	1	
D5		DIODE-SOD123	SOD123	diode	1	
D6		DIODE-SOD123	SOD123	diode	1	
D7		DIODESMA-ALT	SMA-DIODE_ALT	SparkFun-DiscreteSemi	1	
D8		DIODE-SOD123	SOD123	diode	1	
D9		DIODE-SOD123	SOD123	diode	1	
D10		DIODE-SOD123	SOD123	diode	1	
D11		DIODESMA-ALT	SMA-DIODE_ALT	SparkFun-DiscreteSemi	1	
JP1	532580829	M083.5MM-8	SCREWTERMINAL-3.5MM-8	SparkFun-Connectors	1	
JP2		M03POLAR_LOCK	MOLEX-1X3_LOCK	SparkFun-Connectors	1	
JP5		M05LOCK_LONGPADS	1X05_LOCK_LONGPADS	SparkFun-Connectors	1	
K1	ADJ14024	ADJ14024	ADJ14024	FSAE	1	
LED1		LEDCHIP-LED0805	CHIP-LED0805	adafruit	1	
LED2		LEDCHIP-LED0805	CHIP-LED0805	adafruit	1	
LED3		LEDCHIP-LED0805	CHIP-LED0805	adafruit	1	
QB1	DMP2305U	DMP2305U	SOT-23	DFT	1	
QB2	DMP2305U	DMP2305U	SOT-23	DFT	1	
QB3	DMP2305U	DMP2305U	SOT-23	DFT	1	
QB4	DMP2305U	DMP2305U	SOT-23	DFT	1	
QB5	DMP2305U	DMP2305U	SOT-23	DFT	1	
QB6	DMP2305U	DMP2305U	SOT-23	DFT	1	
QB7	DMP2305U	DMP2305U	SOT-23	DFT	1	
QE1	BSS123	BSS123	SOT-23	DFT	1	
QE2	BSS123	BSS123	SOT-23	DFT	1	
QE3	BSS123	BSS123	SOT-23	DFT	1	
QE4	BSS123	BSS123	SOT-23	DFT	1	
QE5	BSS123	BSS123	SOT-23	DFT	1	
